unique_row,randomstate,rows,features,gcq,gamma,N,Sq_zz,Sc,Sq_covariant_qka,SVC train,SVC test,sqrt_n,gcq/sqrt_n,untrained_qsvc_train,untrained_qsvc_test,trained_qsvc_train,trained_qsvc_test
56164874_900_10,56164874,900,10,3.3371053464124145,0.5,450,274.54351825146915,14.24782101449091,13.774677848850843,0.8577777777777778,0.8444444444444444,21.213203435596427,0.1573126546654734,0.8466666666666667,0.7822222222222223,0.8666666666666667,0.7933333333333333
56164874_1000_10,56164874,1000,10,3.5630596820294813,0.5,499,292.3576622254191,14.628183505032212,14.0200056694448,0.8857715430861723,0.856,22.338307903688676,0.15950445742764255,0.8617234468937875,0.818,0.8657314629258517,0.828
46724679_100_10,46724679,100,10,2.2009444757226886,0.5,49,45.38223582521279,5.520178770294308,6.795342768413008,0.8367346938775511,0.84,7.0,0.31442063938895554,0.8163265306122449,0.82,0.8163265306122449,0.84
46724679_200_10,46724679,200,10,2.617628349055215,0.5,99,85.87741867767183,7.270472766325668,9.487554975413559,0.8686868686868687,0.8080808080808081,9.9498743710662,0.26308154770950315,0.8484848484848485,0.7878787878787878,0.8585858585858586,0.7878787878787878
46724679_300_10,46724679,300,10,2.654600415479813,0.5,150,122.06588192420733,7.919038784760232,11.131761313210518,0.8266666666666667,0.8533333333333334,12.24744871391589,0.21674721629685884,0.8466666666666667,0.8466666666666667,0.84,0.8266666666666667
46724679_400_10,46724679,400,10,2.80631770053097,0.5,199,153.85986019149755,8.807138505815601,12.473423577946505,0.8542713567839196,0.83,14.106735979665885,0.19893458731886163,0.8542713567839196,0.835,0.8341708542713567,0.815
46724679_500_10,46724679,500,10,2.9208368548380195,0.5,249,182.89435241638643,10.40201365071789,13.80230791305928,0.8433734939759037,0.8072289156626506,15.7797338380595,0.1851005146736497,0.8594377510040161,0.7911646586345381,0.8353413654618473,0.7951807228915663
46724679_600_10,46724679,600,10,2.8650939453135247,0.5,300,208.20484903961085,11.356632212820841,15.123250375489079,0.83,0.84,17.320508075688775,0.16541627605803302,0.83,0.8466666666666667,0.8333333333333334,0.8166666666666667
46724679_700_10,46724679,700,10,2.841481492671155,0.5,349,231.33866847553642,12.054939811772783,15.801649940985953,0.8681948424068768,0.8285714285714286,18.681541692269406,0.15210101711503746,0.8538681948424068,0.8257142857142857,0.836676217765043,0.82
46724679_800_10,46724679,800,10,3.1094549893757315,0.5,399,252.54520215558236,12.777837150060805,15.998704641220684,0.8696741854636592,0.7994987468671679,19.974984355438178,0.15566745555568778,0.8621553884711779,0.7794486215538847,0.8621553884711779,0.7769423558897243
